StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_12_TEXT,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q16,Q17,Q18,Q19,Q20
4/15/2020 12:29,4/15/2020 12:35,100,328,TRUE,4/15/2020 12:35,R_24pECbFZi2flH13,anonymous,EN,MS1,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very negatively affected,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,,,$0-100,Strongly Disagree,I prefer having required modules and due dates,Every few days,Agree,Neutral,Neutral,Strongly Agree,Disagree,,,Disagree,,,Moved off-campus in San Diego,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,,Easier to attend office hours,"Ideally, there would be more structure like things to do each day instead of just podcasting lectures",podcasts and virtual office hours,It is difficult to study in a noisy and cramped house each day with no where else to go. 
4/15/2020 12:39,4/15/2020 12:47,100,517,TRUE,4/15/2020 12:47,R_5j0PS1kcAKyIxot,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Disagree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Neutral,Neutral,Strongly Disagree,Strongly Agree,N/A: I have not received communication via this method,,,Neutral,,,Stayed at UCSD graduate student housing,Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,"Free clinic phone visit: more time-efficient, but also very limited in diagnostic/treatment capabilities ",being able to watch lectures ahead of time,"feeling of disconnect from classmates, lack of hands-on practice",have lectures from previous year uploaded for the whole week,
4/15/2020 12:45,4/15/2020 12:49,100,237,TRUE,4/15/2020 12:49,R_3GddGQLzx0GwSBO,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,Disagree,Agree,Neutral,N/A: I have not used this resource,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Agree,Agree,Agree,Disagree,,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,
4/15/2020 12:54,4/15/2020 13:00,100,362,TRUE,4/15/2020 13:00,R_UN3WMEaM4lz55AZ,anonymous,EN,MS2,Very positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,,Agree,,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,,"Other resources: Sketchy medical, osmosis, amboss have all been very helpful ",$501-1000,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Disagree,Agree,Neutral,Neutral,,,Agree,Somewhat positively affected,Very prepared,Moved outside San Diego area,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,,Flexibility to learn from home and follow your own pace; less mandatory things,Social connection with classmates,"Lectures being podcasted in real time; less mandatory in person courses. I do think there are certain things that need to be in-person (clinical skills, anatomy, etc.) but there are many other things that can be switched to an online format to make scheduling easier",I have greatly enjoyed remote learning. I do feel that there should be a permanent change in lecture structure format. Many online resources have better prepared/taught concepts that aid in my understanding instead of long lectures that don't seem to be super cohesive or conducive for learning
4/15/2020 13:09,4/15/2020 13:11,100,144,TRUE,4/15/2020 13:11,R_3QRg5psQdmdRxfD,anonymous,EN,MS2,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,,,$1000+,Strongly Disagree,I prefer the flexibility of learning material at my own time and pace,Monthly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,Strongly Disagree,Very negatively affected,Very unprepared,Moved outside San Diego area,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,,,,
4/15/2020 13:28,4/15/2020 13:36,100,482,TRUE,4/15/2020 13:36,R_2Si9AansIAsRQDQ,anonymous,EN,MS2,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$101-$500,Agree,I prefer the flexibility of learning material at my own time and pace,Monthly,Agree,Agree,Disagree,Strongly Agree,N/A: I have not received communication via this method,N/A: I have not received communication via this method,,Agree,Somewhat negatively affected,Somewhat unprepared,Moved outside San Diego area,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,,Learning at my own pace,"I'm in dedicated study period, so not much ",First 2 years of preclinical (aside from POM) can all be done online/via use of step 1 prep material. I never went to lecture to begin with and I think the success of remote learning that we are seeing right now has brought to light the fact that we never really needed lectures to begin with.,"We can save a lot of time money and energy by expanding remote learning. In person activities should still be in place for POM, class bonding events, and mental health resources."
4/15/2020 13:34,4/15/2020 13:44,100,631,TRUE,4/15/2020 13:44,R_3Echvo39Wx8QRn9,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Disagree,Disagree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,,$101-$500,Disagree,I prefer having required modules and due dates,Weekly,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,N/A: I have not received communication via this method,,Neutral,,,Stayed at UCSD graduate student housing,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,,None. I came to medical school for hands on learning.,Anatomy. Histology. POM.,I liked the practice questions April put at the end of each of the new lectures she has made for covid. Practice questions are the way to learn material. I'd be in full support of weekly problem sets that are required but worth some insignificant part of your grade (say 5%).,"In of itself, it's manageable. What is the real negative part about it is the monotony. Sitting at my desk day in day out watching lectures gets boring. When things get boring, they get inefficient."
4/15/2020 14:01,4/15/2020 14:06,100,313,TRUE,4/15/2020 14:06,R_1Cl5BHkmF1JYAzB,anonymous,EN,MS1,Neutral,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,Very negatively affected,Somewhat negatively affected,Neutral,Neutral,Neutral,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,Very negatively affected,Very negatively affected,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,,$0-100,Disagree,I prefer having required modules and due dates,Weekly,Agree,Neutral,Neutral,Neutral,Neutral,,,Neutral,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,,,did not receive info about some electives starting,,
4/15/2020 14:11,4/15/2020 14:18,100,419,TRUE,4/15/2020 14:18,R_1qVgF5DzXhlxu7N,anonymous,EN,MS1,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Neutral,Very negatively affected,N/A: I did not take this course via remote learning,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,Very negatively affected,Very negatively affected,N/A: I have not used this resource,Agree,Neutral,Neutral,Strongly Agree,N/A: I have not used this resource,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Agree,Agree,,,$1000+,Disagree,I prefer having required modules and due dates,Weekly,Strongly Agree,Disagree,Strongly Disagree,Disagree,N/A: I have not received communication via this method,,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Agree,,"I don't feel socially distanced, just physically distanced. ",,Recorded lectures,I feel more disconnected using remote learning. It would be nice if we could get a weekly live Zoom with our course directors to get an idea about the week and to hear announcements this way. 
4/15/2020 14:10,4/15/2020 14:22,100,668,TRUE,4/15/2020 14:22,R_2QMUGPng1idAZ0n,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Somewhat positively affected,Neutral,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Every few days,Neutral,Neutral,Agree,Agree,Neutral,N/A: I have not received communication via this method,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Disagree,,lectures ,POM sessions ,podcasts,"Even though we have a lot more time to study and focus on what we are learning, the fear and concern for our friends and family make it incredibly difficult to focus. "
4/15/2020 14:28,4/15/2020 14:33,100,300,TRUE,4/15/2020 14:33,R_24uQmmpha3namNf,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat positively affected,Somewhat negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Agree,N/A: I have not used this resource,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$101-$500,Agree,I prefer having required modules and due dates,Weekly,Strongly Agree,Disagree,N/A: I have not received communication via this method,Agree,N/A: I have not received communication via this method,,,Neutral,,,Moved outside San Diego area,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,,Being able to speed up lectures and a little more bandwidth.,"All the hands-on educational components (like ACA, ultrasound, anatomy) aren't accessible remotely. ",Virtual PBL. There's no need to require people to be there in person. ,"It's been surprising how much of going to lecture was a social component. I've found that I've been better able to focus on lecture material as a result, but I really enjoyed going to lecture to see people. Additionally, the hands-on portion of the education should continue to be expanded - it's unbelievable how much we miss out on by not being in-person for ACA/POM/ultrasound. I would really like to make up the lost opportunity over the summer if possible. "
4/15/2020 13:06,4/15/2020 14:56,100,6641,TRUE,4/15/2020 14:56,R_31dyFzhVBmfa9xX,anonymous,EN,MS2,Very positively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Disagree,Agree,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$1000+,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,,,Agree,Somewhat positively affected,Neutral,Moved off-campus in San Diego,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,N/A,More freedom to productively use my time (research/STEP studying),Please help us afford Questions Banks. Many MS2's already purchased our Step materials and now they are expiring and we have to pay for them again. It is a large financial strain.  ,Lectures online. ,"My entire first year, I attended lecture. Looking back, the only thing I gained from it was friends(which are very important). In terms of learning, I feel I wasted my time. Now that I'm studying for Step and using online resources I'm finally learning what I was suppose to learn last year. There are incredible online resources that often explain the concepts our facility want us to know in a better more efficient way. I wish our facility would support and encourage the use of those materials and use lecture time to touch on how it is relevant clinically. It seems obvious that these nation wide platforms where individuals put their life towards making study materials are going to be better than some powerpoints by people's whose main focus is patient care. I wish the facility could appreciate these resources and use them instead of fighting them and insisting their way is better. Practicing physicians have a lot to offer our education- but it should be a partnership, not a fight with the resources designed to help us with boards. "
4/15/2020 15:03,4/15/2020 15:09,100,395,TRUE,4/15/2020 15:09,R_1mgTeyOGioB0KA8,anonymous,EN,MS2,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,Agree,Agree,Strongly Agree,,,$0-100,Neutral,No preference,Weekly,Agree,Agree,Strongly Agree,Agree,Neutral,,,Agree,Somewhat negatively affected,Somewhat unprepared,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,,,making sure recorded items are as complete and well structured at possible - e.g. panopto is much better than recorded ppt slides. I wish there was an easier way to ask questions from some of the lectures.,flexibility,i think the hardest thing has been the isolation. I still call people and try to stay connected but it's a lot harder. This is more due to the stay at home order than the remote learning aspects. But I definitely miss seeing people regularly
4/15/2020 15:35,4/15/2020 15:38,100,199,TRUE,4/15/2020 15:38,R_UmUJXWypac3zVcd,anonymous,EN,MS2,Very positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,,,Strongly Agree,No change,Somewhat unprepared,Moved outside San Diego area,Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,,,,,
4/15/2020 16:44,4/15/2020 16:54,100,634,TRUE,4/15/2020 16:54,R_eCJQ0cg3DnM8B7b,anonymous,EN,MS1,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very positively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Neutral,Very negatively affected,Very negatively affected,Very negatively affected,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,BoardsAndBeyond; First Aid 2019,$101-$500,Disagree,I prefer the flexibility of learning material at my own time and pace,Monthly,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,,,Neutral,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,,Being able to hold interactive review sessions and work through material at my own pace. April's videos made specifically for distance learning.,"Having us watch old recorded lectures does not suit the format of distance learning. We need smaller, digestible videos with an emphasis on interactive learning to keep us engaged. Watching old lectures also makes me wonder why I'm paying full tuition.","No components of the current UCSD remote learning should be carried over (aside from recorded lectures which existed beforehand). If UCSD wants to devote resources to improving at-home learning, then the curriculum needs to be designed to facilitate self-study with more interactive, question based learning modules and certainly not more pre-recorded lectures.","Remote learning presents a tremendous challenge for students who find it difficult to study at home. This may be different if public study spaces were open, but they are not. Libraries are closed, so whatever home life the student may have will directly impact their ability to study effectively. "
4/15/2020 17:30,4/15/2020 17:47,100,1002,TRUE,4/15/2020 17:47,R_1dajVCIQzkzKC2z,anonymous,EN,MS2,Neutral,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,,,Strongly Agree,Agree,Strongly Agree,,,$101-$500,Neutral,No preference,Biweekly,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,,,Agree,No change,Somewhat unprepared,Stayed at UCSD graduate student housing,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,,Being able to learn at my own pace.,"Maybe room for engagement with the lecturer, like a 30 min office hour or something. I was a lecture goer in part because I could hear other people's questions, which would sometimes help me identify points of misunderstanding.","I don't think there is anything that needs to stop being done, I was grateful that all of the lectures were posted so I could watch as many or as few as I needed to at a time. ","Thanks for taking the time to record the lectures for us, and uploading them. I know it was already being done, but I never used them as I went to lectures everyday. The only thing is that when I have a question, I'm much more likely to brush it off instead of going up to the lecturer after the hour or asking a classmate. It's something I had to be deliberate about. Sorry nothing else to share, really. I know it's been a challenge so I appreciated you all doing your best to meet it - and getting us all Zoom accounts was great."
4/15/2020 16:16,4/15/2020 18:10,100,6868,TRUE,4/15/2020 18:10,R_Pvv9IEO8dPBvl3H,anonymous,EN,MS2,Somewhat positively affected,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,,,Neutral,Somewhat positively affected,Very prepared,Moved outside San Diego area,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,More focus on personalized learning ,,The fact that lecturers can't speak badly about podcasters ,"With the exception of anatomy and clinical skills sessions, remote learning didn't make much of a difference at all and was more flexible. "
4/16/2020 9:56,4/16/2020 10:04,100,453,TRUE,4/16/2020 10:04,R_2D60vbu0MAT8CrP,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,N/A: I did not take this course via remote learning,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I have not used this resource,N/A: I have not used this resource,Agree,N/A: I have not used this resource,N/A: I have not used this resource,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Monthly,Agree,Neutral,Agree,Neutral,N/A: I have not received communication via this method,,,Neutral,,,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Neutral,Disagree,,Flexibility ,POM seems to be too long and could be shortened to accommodate online learning,,
4/17/2020 10:59,4/17/2020 11:09,100,561,TRUE,4/17/2020 11:09,R_z0FtTvxOzuxqy2J,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Agree,N/A: I have not received communication via this method,Agree,N/A: I have not received communication via this method,,,Agree,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,,Maintenance of PBL,"Anatomy and histology, and especially ACA and clinical experiences",Online video-casted lectures. But everything should have an in person option,"It has been hard to stay motivated to study the curriculum, or keep a consistent schedule. It has also been hard not having clinical experiences, since that was my favorite part of medical school. Zoom classes feel much longer online than in person."
4/17/2020 21:18,4/17/2020 21:21,100,182,TRUE,4/17/2020 21:21,R_2VdpCeXTWLIkwRc,anonymous,EN,MS1,Very positively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very positively affected,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Neutral,Neutral,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Agree,Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Agree,Agree,Disagree,Disagree,,,Agree,,,Moved off-campus in San Diego,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,Having POM be 3-4 hours is really hard on Zoom and gives us headaches looking at a screen for that long. Would prefer having it more often and be shorter
4/20/2020 10:46,4/20/2020 10:54,100,467,TRUE,4/20/2020 10:54,R_3papr9yt4yePqNv,anonymous,EN,MS1,Somewhat negatively affected,Neutral,Very negatively affected,Very negatively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,Neutral,Somewhat negatively affected,Very negatively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer having required modules and due dates,Weekly,Agree,Agree,Neutral,Agree,N/A: I have not received communication via this method,,,Agree,,,Stayed in existing off-campus housing in San Diego,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,"I have done multiple tele-health visits at the free clinic, which have gone well.",I enjoy that we are able to take things at our own pace.,"I think since we are able to take things at our own pace it is so easy to fall behind. It would be helpful to have more practice problems available and maybe even ""due"" so that way we have to keep up the pace.",N/A,"I think the hardest part about the remote learning experience is keeping up the motivation to keep doing work at the medical school pace. Without having a place to study other than home, it is very difficult to stay motivated/attentive to work when there are so many distractions at home. I think that having a calendar to keep us on track is helpful, but without going to school it is so hard to focus on school work."
4/20/2020 12:00,4/20/2020 12:06,100,332,TRUE,4/20/2020 12:06,R_1H1AV9lxyhbwWSv,anonymous,EN,MS2,Neutral,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Disagree,Disagree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,,,Neutral,Somewhat negatively affected,Neutral,Stayed at UCSD graduate student housing,Agree,Agree,Agree,Agree,Disagree,Disagree,I helped with patient education calls for UCSD Health as they transitioned to telehealth visits.,"MS2, so there are no components to my curriculum...","Again, as an MS2, there is essentially no curriculum.",N/A,"I took two finals during the initial transition to a remote curriculum - Renal 2 and MOSD. The open book format for MOSD made much more sense to me. Taking the Renal exam from home was actually a very stressful experience compared to sitting exams on campus. I spoke with some friends about it, and they felt the same way."
